Lower It | AFI | AFI
A Single Second | AFI | AFI
Third Season | AFI | AFI
He Who Laughs Last... | AFI | AFI
I Wanna Get A Mohawk (But Mom Won't Let Me Get One) | AFI | AFI
Perfect Fit | AFI | AFI
Rolling Balls | AFI | AFI
Who Said You Could Touch Me? | AFI | AFI
The Leaving Song Pt. II | AFI | Sing The Sorrow
Bleed Black | AFI | Sing The Sorrow
Silver And Cold | AFI | Sing The Sorrow
Dancing Through Sunday | AFI | Sing The Sorrow
Girl's Not Grey | AFI | Sing The Sorrow
Death Of Seasons | AFI | Sing The Sorrow
The Great Disappointment | AFI | Sing The Sorrow
Paper Airplanes (Makeshift Wings) | AFI | Sing The Sorrow
This Celluloid Dream | AFI | Sing The Sorrow
The Leaving Song | AFI | Sing The Sorrow
...but home is nowhere | AFI | Sing The Sorrow
This Time Imperfect | AFI | Sing The Sorrow
Initiation | AFI | The Art Of Drowning
The Lost Souls | AFI | The Art Of Drowning
The Nephilim | AFI | The Art Of Drowning
Ever And A Day | AFI | The Art Of Drowning
Sacrifice Theory | AFI | The Art Of Drowning
Of Greetings And Goodbyes | AFI | The Art Of Drowning
Smile | AFI | The Art Of Drowning
A Story At Three | AFI | The Art Of Drowning
The Days Of The Phoenix | AFI | The Art Of Drowning
Catch A Hot One | AFI | The Art Of Drowning
Wester | AFI | The Art Of Drowning
6 To 8 | AFI | The Art Of Drowning
The Despair Factor | AFI | The Art Of Drowning
Morningstar | AFI | The Art Of Drowning
Strength Through Wounding | AFI | Black Sails In The Sunset
Porphyria | AFI | Black Sails In The Sunset
Exsanguination | AFI | Black Sails In The Sunset
Malleus Maleficarum | AFI | Black Sails In The Sunset
Narrative Of Soul Against Soul | AFI | Black Sails In The Sunset
Clove Smoke Catharsis | AFI | Black Sails In The Sunset
The Prayer Position | AFI | Black Sails In The Sunset
No Poetic Device | AFI | Black Sails In The Sunset
The Last Kiss | AFI | Black Sails In The Sunset
Weathered Tome | AFI | Black Sails In The Sunset
At A Glance | AFI | Black Sails In The Sunset
God Called In Sick Today | AFI | Black Sails In The Sunset
Keeping Out Of Direct Sunlight (An Introduction) | AFI | Shut Your Mouth And Open Your Eyes
Three Reasons | AFI | Shut Your Mouth And Open Your Eyes
A Single Second | AFI | Shut Your Mouth And Open Your Eyes
pH Low | AFI | Shut Your Mouth And Open Your Eyes
Let It Be Broke | AFI | Shut Your Mouth And Open Your Eyes
Third Season | AFI | Shut Your Mouth And Open Your Eyes
Lower Your Head And Take It In The Body | AFI | Shut Your Mouth And Open Your Eyes
Coin Return | AFI | Shut Your Mouth And Open Your Eyes
The New Patron Saints And Angels | AFI | Shut Your Mouth And Open Your Eyes
Three Seconds Notice | AFI | Shut Your Mouth And Open Your Eyes
Salt For Your Wounds | AFI | Shut Your Mouth And Open Your Eyes
Today's Lesson | AFI | Shut Your Mouth And Open Your Eyes
The Devil Loves You | AFI | Shut Your Mouth And Open Your Eyes
Triple Zero | AFI | Shut Your Mouth And Open Your Eyes
He Who Laughs Last... | AFI | Very Proud of Ya
File 13 | AFI | Very Proud of Ya
Wake-Up Call | AFI | Very Proud of Ya
Cult Status | AFI | Very Proud of Ya
Perfect Fit | AFI | Very Proud of Ya
Advances In Modern Technology | AFI | Very Proud of Ya
Theory Of Revolution | AFI | Very Proud of Ya
This Secret Ninja | AFI | Very Proud of Ya
Soap-Box Derby | AFI | Very Proud of Ya
Aspirin Free | AFI | Very Proud of Ya
Fishbowl | AFI | Very Proud of Ya
Charles Atlas | AFI | Very Proud of Ya
Crop Tub | AFI | Very Proud of Ya
Consult My Lover | AFI | Very Proud of Ya
Take The Test | AFI | Very Proud of Ya
Two Of A Kind | AFI | Very Proud of Ya
Shatty Fatmas | AFI | Very Proud of Ya
Yurf Rendenmein | AFI | Very Proud of Ya
Cruise Control | AFI | Very Proud of Ya
Modern Epic | AFI | Very Proud of Ya
Two Of A Kind | AFI | Answer That And Stay Fashionable
Half-Empty Bottle | AFI | Answer That And Stay Fashionable
Yürf Rendenmein | AFI | Answer That And Stay Fashionable
I Wanna Get A Mohawk (But Mom Won't Let Me Get One) | AFI | Answer That And Stay Fashionable
Brownie Bottom Sundae | AFI | Answer That And Stay Fashionable
The Checkered Demon | AFI | Answer That And Stay Fashionable
Cereal Wars | AFI | Answer That And Stay Fashionable
The Mother In Me | AFI | Answer That And Stay Fashionable
Rizzo In The Box | AFI | Answer That And Stay Fashionable
Kung-Fu Devil | AFI | Answer That And Stay Fashionable
Your Name Here | AFI | Answer That And Stay Fashionable
Ny-Quil | AFI | Answer That And Stay Fashionable
Don't Make Me Ill | AFI | Answer That And Stay Fashionable
Open Your Eyes | AFI | Answer That And Stay Fashionable
Highschool Football Hero/ Man In A Suitcase (Hidden Track) | AFI | Answer That And Stay Fashionable
Trash Bat | AFI | The Missing Man
Break Angels | AFI | The Missing Man
Back Into The Sun | AFI | The Missing Man
Get Dark | AFI | The Missing Man
The Missing Man | AFI | The Missing Man
Trash Bat | AFI | Trash Bat
Get Dark | AFI | Get Dark
Carcinogen Crush | AFI | Carcinogen Crush
Fallen Like The Sky | AFI | Fallen Like The Sky
Jack The Ripper - iTunes Bonus Pre-Order Track | AFI | Jack The Ripper
Fall Children | AFI | All Hallows EP
Halloween | AFI | All Hallows EP
The Boy Who Destroyed The World | AFI | All Hallows EP
Totalimmortal | AFI | All Hallows EP
Stray | Son Of Sam | Songs From The Earth
Evernight | Son Of Sam | Songs From The Earth
In The Hills | Son Of Sam | Songs From The Earth
Songs From The Earth | Son Of Sam | Songs From The Earth
Satiate | Son Of Sam | Songs From The Earth
Michael | Son Of Sam | Songs From The Earth
Purevil | Son Of Sam | Songs From The Earth
Invocation | Son Of Sam | Songs From The Earth
After I Confessed | DREAMCAR | DREAMCAR
Kill for Candy | DREAMCAR | DREAMCAR
Born To Lie | DREAMCAR | DREAMCAR
On The Charts | DREAMCAR | DREAMCAR
All Of The Dead Girls | DREAMCAR | DREAMCAR
Ever Lonely | DREAMCAR | DREAMCAR
The Assailant | DREAMCAR | DREAMCAR
The Preferred | DREAMCAR | DREAMCAR
Slip On The Moon | DREAMCAR | DREAMCAR
